# model = /Users/alexwolf/hholtz/01_projects/1512_scanpy/scanpy/scanpy/sim_models/krumsiek11.txt
# tmax = 160
# branching = True
# nrRealizations = 4
# noiseObs = 0
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1
  19  0.1818  0.0613  0.0037  0.0063  0.0018  0.0179  0.9579  0.2034  0.3332  0.2000  0.0722
  20  0.1734  0.0666  0.0069  0.0066  0.0053  0.0218  0.9585  0.2051  0.3505  0.2227  0.0672
  21  0.1720  0.0715  0.0052  0.0112  0.0066  0.0260  0.9586  0.2025  0.3742  0.2433  0.0567
  22  0.1638  0.0762  0.0084  0.0177  0.0096  0.0289  0.9655  0.1981  0.3971  0.2726  0.0492
  23  0.1556  0.0826  0.0090  0.0151  0.0125  0.0374  0.9661  0.1974  0.4208  0.2965  0.0461
  24  0.1515  0.0831  0.0117  0.0169  0.0101  0.0385  0.9724  0.1936  0.4450  0.3236  0.0395
  25  0.1475  0.0821  0.0123  0.0174  0.0150  0.0429  0.9757  0.1898  0.4697  0.3503  0.0346
  26  0.1480  0.0842  0.0137  0.0186  0.0133  0.0468  0.9751  0.1900  0.4953  0.3773  0.0297
  27  0.1440  0.0870  0.0101  0.0184  0.0152  0.0544  0.9734  0.1893  0.5165  0.4037  0.0264
  28  0.1463  0.0892  0.0090  0.0231  0.0156  0.0551  0.9760  0.1906  0.5320  0.4323  0.0203
  29  0.1413  0.0919  0.0085  0.0255  0.0193  0.0594  0.9795  0.1887  0.5534  0.4581  0.0198
  30  0.1415  0.0919  0.0067  0.0273  0.0218  0.0629  0.9853  0.1891  0.5680  0.4826  0.0224
  31  0.1385  0.0952  0.0072  0.0306  0.0209  0.0687  0.9866  0.1904  0.5856  0.5025  0.0213
  32  0.1386  0.0993  0.0075  0.0265  0.0268  0.0730  0.9878  0.1916  0.6031  0.5224  0.0198
  33  0.1337  0.1011  0.0061  0.0237  0.0242  0.0751  0.9897  0.1885  0.6190  0.5403  0.0177
  34  0.1318  0.1009  0.0046  0.0278  0.0267  0.0793  0.9925  0.1892  0.6339  0.5546  0.0173
  35  0.1295  0.1035  0.0074  0.0300  0.0266  0.0817  0.9967  0.1855  0.6451  0.5754  0.0171
  36  0.1284  0.1001  0.0063  0.0299  0.0293  0.0868  0.9949  0.1841  0.6546  0.5917  0.0112
  37  0.1246  0.1018  0.0112  0.0354  0.0264  0.0901  0.9949  0.1886  0.6651  0.6068  0.0119
  38  0.1230  0.1057  0.0079  0.0353  0.0300  0.0972  0.9890  0.1858  0.6758  0.6210  0.0118
  39  0.1184  0.1040  0.0087  0.0357  0.0303  0.0996  0.9889  0.1861  0.6811  0.6300  0.0092
  40  0.1191  0.1036  0.0092  0.0322  0.0303  0.1016  0.9881  0.1853  0.6913  0.6417  0.0084
  41  0.1198  0.1035  0.0052  0.0332  0.0306  0.1001  0.9874  0.1870  0.7005  0.6513  0.0069
  42  0.1171  0.1055  0.0055  0.0339  0.0303  0.1041  0.9877  0.1889  0.7091  0.6590  0.0077
  43  0.1157  0.1066  0.0084  0.0349  0.0303  0.1031  0.9882  0.1905  0.7142  0.6705  0.0064
  44  0.1160  0.1097  0.0087  0.0341  0.0321  0.1078  0.9902  0.1886  0.7201  0.6802  0.0046
  45  0.1141  0.1096  0.0116  0.0362  0.0363  0.1088  0.9904  0.1884  0.7225  0.6883  0.0035
  46  0.1185  0.1081  0.0096  0.0351  0.0363  0.1055  0.9888  0.1909  0.7314  0.6989  0.0051
  47  0.1174  0.1046  0.0098  0.0370  0.0369  0.1061  0.9890  0.1883  0.7348  0.7054  0.0022
  48  0.1135  0.1022  0.0110  0.0408  0.0330  0.1091  0.9909  0.1905  0.7427  0.7131 -0.0011
  49  0.1121  0.1003  0.0074  0.0365  0.0365  0.1053  0.9905  0.1945  0.7472  0.7213 -0.0017
  50  0.1081  0.1033  0.0071  0.0346  0.0347  0.1052  0.9898  0.1982  0.7510  0.7302 -0.0023
  51  0.1103  0.1027  0.0079  0.0363  0.0340  0.1067  0.9896  0.1997  0.7534  0.7336 -0.0017
  52  0.1047  0.1011  0.0097  0.0364  0.0325  0.1058  0.9923  0.1992  0.7573  0.7389 -0.0003
  53  0.1025  0.0991  0.0093  0.0366  0.0337  0.1076  0.9941  0.2040  0.7612  0.7454 -0.0040
  54  0.1005  0.0926  0.0114  0.0321  0.0336  0.1090  0.9901  0.2098  0.7634  0.7517 -0.0053
  55  0.0997  0.0921  0.0115  0.0339  0.0349  0.1073  0.9903  0.2147  0.7698  0.7554 -0.0021
  56  0.0951  0.0846  0.0111  0.0332  0.0301  0.1033  0.9878  0.2235  0.7738  0.7626  0.0029
  57  0.0924  0.0828  0.0075  0.0315  0.0260  0.1016  0.9870  0.2298  0.7837  0.7651  0.0008
  58  0.0834  0.0783  0.0061  0.0319  0.0253  0.0989  0.9901  0.2409  0.7928  0.7706  0.0024
  59  0.0813  0.0749  0.0031  0.0287  0.0255  0.0924  0.9896  0.2546  0.7998  0.7774 -0.0016
  60  0.0768  0.0739  0.0021  0.0278  0.0231  0.0906  0.9857  0.2699  0.8083  0.7835 -0.0024
  61  0.0722  0.0680  0.0031  0.0277  0.0217  0.0858  0.9876  0.2841  0.8176  0.7923  0.0003
  62  0.0674  0.0627  0.0038  0.0277  0.0194  0.0808  0.9897  0.3011  0.8278  0.8008 -0.0021
  63  0.0631  0.0582  0.0021  0.0274  0.0150  0.0737  0.9927  0.3201  0.8357  0.8083  0.0001
  64  0.0613  0.0532  0.0057  0.0297  0.0130  0.0709  0.9939  0.3414  0.8409  0.8186 -0.0032
  65  0.0579  0.0485  0.0053  0.0274  0.0107  0.0615  0.9973  0.3643  0.8514  0.8257 -0.0039
  66  0.0535  0.0452  0.0050  0.0238  0.0132  0.0566  0.9986  0.3888  0.8545  0.8368  0.0008
  67  0.0477  0.0400  0.0042  0.0218  0.0116  0.0498  0.9957  0.4158  0.8616  0.8432  0.0028
  68  0.0469  0.0364  0.0036  0.0232  0.0097  0.0487  0.9951  0.4458  0.8701  0.8508  0.0007
  69  0.0389  0.0306  0.0076  0.0225  0.0100  0.0461  0.9950  0.4745  0.8801  0.8617 -0.0010
  70  0.0382  0.0282  0.0055  0.0210  0.0079  0.0401  0.9959  0.5078  0.8884  0.8711 -0.0010
  71  0.0349  0.0258  0.0073  0.0155  0.0071  0.0379  0.9961  0.5373  0.8909  0.8802 -0.0034
  72  0.0320  0.0208  0.0082  0.0151  0.0080  0.0346  0.9989  0.5653  0.8929  0.8879 -0.0034
  73  0.0293  0.0187  0.0041  0.0176  0.0085  0.0329  1.0026  0.5954  0.9017  0.8970 -0.0010
  74  0.0240  0.0158  0.0022  0.0167  0.0050  0.0303  1.0038  0.6247  0.9094  0.9030  0.0002
  75  0.0220  0.0090 -0.0012  0.0165  0.0034  0.0272  1.0070  0.6518  0.9158  0.9111  0.0011
  76  0.0211  0.0078  0.0003  0.0161  0.0044  0.0248  1.0038  0.6807  0.9249  0.9182 -0.0004
  77  0.0172  0.0098 -0.0039  0.0135  0.0038  0.0226  1.0018  0.7108  0.9311  0.9203  0.0011
  78  0.0169  0.0092 -0.0026  0.0159  0.0003  0.0222  1.0008  0.7342  0.9365  0.9253 -0.0024
  79  0.0167  0.0094 -0.0009  0.0104  0.0012  0.0208  1.0022  0.7559  0.9428  0.9311  0.0006
  80  0.0185  0.0098 -0.0003  0.0101 -0.0013  0.0189  0.9999  0.7761  0.9460  0.9362  0.0030
  81  0.0154  0.0114  0.0026  0.0074 -0.0037  0.0172  0.9994  0.7940  0.9499  0.9424 -0.0009
  82  0.0126  0.0088  0.0024  0.0053  0.0001  0.0156  1.0002  0.8087  0.9503  0.9475 -0.0000
  83  0.0134  0.0109  0.0041  0.0088 -0.0014  0.0132  0.9984  0.8265  0.9490  0.9501 -0.0007
  84  0.0125  0.0123  0.0074  0.0102 -0.0061  0.0118  0.9963  0.8391  0.9515  0.9545 -0.0025
  85  0.0107  0.0062  0.0096  0.0118 -0.0063  0.0124  0.9984  0.8514  0.9559  0.9538 -0.0040
  86  0.0059  0.0064  0.0085  0.0098 -0.0053  0.0137  0.9971  0.8692  0.9585  0.9517 -0.0023
  87  0.0021  0.0086  0.0082  0.0063 -0.0020  0.0124  0.9969  0.8816  0.9620  0.9576 -0.0047
  88  0.0020  0.0108  0.0068  0.0048 -0.0022  0.0107  0.9977  0.8923  0.9618  0.9594 -0.0029
  89 -0.0007  0.0139  0.0069  0.0037  0.0010  0.0110  0.9976  0.9006  0.9620  0.9634 -0.0037
  90 -0.0030  0.0166  0.0068  0.0059  0.0021  0.0133  0.9994  0.9091  0.9675  0.9675 -0.0059
  91  0.0008  0.0137  0.0064  0.0065  0.0014  0.0107  1.0005  0.9129  0.9680  0.9715 -0.0038
  92  0.0013  0.0093  0.0072  0.0065  0.0038  0.0074  0.9998  0.9200  0.9722  0.9696 -0.0059
  93 -0.0029  0.0144  0.0078  0.0070  0.0060  0.0031  1.0009  0.9250  0.9704  0.9735 -0.0061
  94 -0.0020  0.0116  0.0036  0.0052  0.0057  0.0038  0.9996  0.9346  0.9716  0.9735 -0.0105
  95 -0.0033  0.0080  0.0035  0.0036  0.0017  0.0006  1.0053  0.9462  0.9707  0.9710 -0.0066
  96 -0.0007  0.0108  0.0061  0.0022  0.0002  0.0006  1.0030  0.9457  0.9736  0.9694 -0.0085
  97 -0.0025  0.0108  0.0093  0.0052 -0.0024 -0.0026  1.0027  0.9527  0.9752  0.9695 -0.0089
  98 -0.0053  0.0130  0.0116  0.0052 -0.0019 -0.0026  1.0038  0.9568  0.9781  0.9704 -0.0043
  99 -0.0068  0.0112  0.0093 -0.0005 -0.0010 -0.0036  1.0003  0.9568  0.9795  0.9688 -0.0049
 100 -0.0074  0.0139  0.0063 -0.0010 -0.0047 -0.0024  0.9981  0.9605  0.9802  0.9699 -0.0049
 101 -0.0061  0.0137  0.0035  0.0012 -0.0037 -0.0012  0.9979  0.9641  0.9809  0.9701 -0.0066
 102 -0.0059  0.0165  0.0025  0.0017 -0.0053  0.0005  0.9960  0.9642  0.9795  0.9754 -0.0068
 103 -0.0045  0.0184  0.0014  0.0040 -0.0033  0.0004  0.9965  0.9577  0.9801  0.9744 -0.0065
 104 -0.0043  0.0163  0.0025  0.0038  0.0009 -0.0003  0.9945  0.9593  0.9806  0.9747 -0.0044
 105 -0.0045  0.0147  0.0030  0.0044  0.0015  0.0000  0.9942  0.9609  0.9830  0.9734 -0.0003
 106 -0.0047  0.0131  0.0037 -0.0018  0.0018  0.0049  0.9941  0.9631  0.9853  0.9728  0.0013
 107  0.0002  0.0101  0.0029 -0.0029  0.0058  0.0068  0.9959  0.9660  0.9824  0.9748 -0.0022
 108  0.0016  0.0111  0.0001 -0.0078  0.0081  0.0064  0.9959  0.9716  0.9835  0.9735 -0.0042
 109  0.0025  0.0106 -0.0023 -0.0085  0.0085  0.0027  0.9943  0.9753  0.9868  0.9730 -0.0021
 110  0.0027  0.0092 -0.0021 -0.0051  0.0070  0.0048  0.9943  0.9794  0.9826  0.9674 -0.0006
 111  0.0042  0.0062  0.0020 -0.0054  0.0056  0.0059  0.9933  0.9829  0.9873  0.9668  0.0006
 112  0.0039  0.0068  0.0009 -0.0043  0.0046  0.0025  0.9921  0.9870  0.9891  0.9643  0.0000
 113  0.0028  0.0096 -0.0007 -0.0031  0.0057  0.0042  0.9922  0.9837  0.9896  0.9661 -0.0009
 114  0.0019  0.0047 -0.0007 -0.0082  0.0065  0.0035  0.9948  0.9885  0.9905  0.9749  0.0027
 115  0.0028  0.0038  0.0001 -0.0087  0.0040  0.0014  0.9908  0.9901  0.9883  0.9756  0.0049
 116  0.0039  0.0005  0.0006 -0.0096 -0.0003  0.0012  0.9952  0.9904  0.9888  0.9733  0.0042
 117  0.0050 -0.0023 -0.0001 -0.0071  0.0023  0.0027  0.9925  0.9893  0.9932  0.9762  0.0070
 118  0.0012 -0.0036 -0.0023 -0.0031 -0.0015  0.0026  0.9942  0.9892  0.9905  0.9751  0.0051
 119  0.0040 -0.0063 -0.0019 -0.0054  0.0018 -0.0013  0.9924  0.9932  0.9899  0.9769  0.0043
 120  0.0063 -0.0024 -0.0017 -0.0035  0.0039 -0.0023  0.9944  0.9919  0.9901  0.9737  0.0036
 121  0.0058 -0.0052 -0.0013 -0.0040  0.0065 -0.0003  0.9961  0.9918  0.9902  0.9757  0.0085
 122  0.0018 -0.0063  0.0011 -0.0058  0.0093  0.0018  0.9963  0.9893  0.9866  0.9750  0.0094
 123  0.0022 -0.0093  0.0020 -0.0062  0.0066  0.0022  0.9980  0.9903  0.9829  0.9705  0.0088
 124  0.0019 -0.0062  0.0016 -0.0047  0.0062  0.0021  0.9974  0.9918  0.9846  0.9692  0.0120
 125 -0.0005 -0.0015  0.0002 -0.0034  0.0061  0.0036  0.9996  0.9918  0.9850  0.9668  0.0124
 126 -0.0016 -0.0014 -0.0024 -0.0052  0.0070  0.0029  1.0000  0.9946  0.9850  0.9632  0.0118
 127 -0.0015 -0.0043 -0.0008 -0.0037  0.0049 -0.0014  0.9971  0.9967  0.9822  0.9612  0.0098
 128 -0.0000 -0.0043 -0.0004 -0.0035  0.0081 -0.0023  1.0001  0.9934  0.9818  0.9589  0.0120
 129  0.0027 -0.0074 -0.0033 -0.0043  0.0075  0.0013  0.9986  0.9908  0.9843  0.9579  0.0108
 130  0.0019 -0.0079 -0.0030 -0.0035  0.0092  0.0040  0.9993  0.9894  0.9820  0.9598  0.0080
 131  0.0006 -0.0051 -0.0023 -0.0014  0.0091  0.0008  0.9975  0.9897  0.9811  0.9603  0.0096
 132 -0.0002 -0.0048 -0.0008  0.0030  0.0075  0.0011  1.0006  0.9884  0.9795  0.9586  0.0092
 133  0.0023 -0.0038  0.0014  0.0040  0.0067  0.0015  1.0028  0.9882  0.9801  0.9605  0.0036
 134  0.0014 -0.0065  0.0020  0.0036  0.0056  0.0016  1.0036  0.9893  0.9826  0.9663  0.0010
 135 -0.0007 -0.0055 -0.0049  0.0039  0.0080  0.0025  1.0024  0.9888  0.9850  0.9644  0.0024
 136 -0.0024 -0.0029 -0.0052  0.0036  0.0068 -0.0005  1.0003  0.9927  0.9850  0.9666 -0.0009
 137 -0.0031 -0.0021 -0.0020  0.0037  0.0069 -0.0019  0.9958  0.9910  0.9841  0.9664 -0.0010
 138 -0.0030 -0.0011 -0.0076  0.0040  0.0056  0.0010  0.9939  0.9920  0.9847  0.9643  0.0027
 139  0.0022 -0.0001 -0.0061  0.0021  0.0071  0.0049  0.9942  0.9918  0.9844  0.9643  0.0071
 140  0.0023 -0.0038 -0.0019 -0.0010  0.0113  0.0033  0.9937  0.9944  0.9869  0.9642  0.0058
 141 -0.0003 -0.0077 -0.0024 -0.0017  0.0093  0.0013  0.9973  0.9974  0.9832  0.9691  0.0047
 142 -0.0002 -0.0075 -0.0002 -0.0038  0.0071  0.0033  0.9980  0.9991  0.9821  0.9672  0.0077
 143 -0.0030 -0.0126  0.0015 -0.0014  0.0051  0.0053  0.9955  0.9991  0.9796  0.9675  0.0066
 144 -0.0034 -0.0110  0.0002 -0.0015  0.0030  0.0000  1.0002  0.9958  0.9807  0.9680  0.0036
 145 -0.0023 -0.0103  0.0044 -0.0015  0.0015  0.0004  0.9980  0.9940  0.9825  0.9632  0.0000
 146  0.0016 -0.0055  0.0046 -0.0005 -0.0004  0.0019  0.9962  0.9964  0.9850  0.9651 -0.0030
 147 -0.0024 -0.0046  0.0050 -0.0000 -0.0025 -0.0009  0.9988  0.9948  0.9831  0.9667 -0.0070
 148 -0.0019 -0.0047  0.0046  0.0044 -0.0027 -0.0020  0.9983  0.9936  0.9876  0.9659 -0.0017
 149  0.0003 -0.0060  0.0020  0.0068 -0.0005 -0.0003  1.0017  0.9924  0.9882  0.9700  0.0009
 150  0.0028 -0.0084  0.0001  0.0052 -0.0012  0.0010  1.0011  0.9943  0.9870  0.9724  0.0020
 151  0.0062 -0.0111 -0.0006  0.0063 -0.0020 -0.0004  1.0000  0.9932  0.9869  0.9714 -0.0032
 152  0.0039 -0.0129 -0.0038  0.0022 -0.0010 -0.0039  0.9987  0.9930  0.9905  0.9704 -0.0045
 153  0.0051 -0.0115 -0.0064  0.0016 -0.0044 -0.0044  0.9956  0.9956  0.9873  0.9671 -0.0024
 154  0.0063 -0.0117 -0.0049  0.0019  0.0039 -0.0029  0.9967  0.9937  0.9887  0.9639 -0.0018
 155  0.0054 -0.0098 -0.0060  0.0015  0.0029 -0.0064  0.9971  0.9938  0.9855  0.9656  0.0008
 156  0.0053 -0.0098 -0.0015 -0.0005  0.0002 -0.0080  0.9963  0.9955  0.9835  0.9653  0.0025
 157  0.0047 -0.0100 -0.0010 -0.0038  0.0043 -0.0108  0.9998  0.9949  0.9820  0.9645  0.0019
 158  0.0023 -0.0092  0.0008 -0.0045  0.0035 -0.0064  1.0021  0.9949  0.9839  0.9718 -0.0002
 159  0.0046 -0.0072  0.0018 -0.0036  0.0021 -0.0090  1.0048  0.9932  0.9893  0.9727  0.0001
   0  0.8010 -0.0022  0.0006  0.0015  0.0011  0.0010  0.8006  0.8023  0.0012 -0.0001  0.0001
   1  0.7284  0.0041 -0.0003  0.0006 -0.0033 -0.0026  0.8190  0.7276  0.0838  0.0093  0.0925
   2  0.6616  0.0035 -0.0021 -0.0001 -0.0011  0.0020  0.8405  0.6612  0.1179  0.0241  0.1436
   3  0.5999  0.0101 -0.0041  0.0001  0.0013 -0.0001  0.8545  0.6028  0.1350  0.0346  0.1620
   4  0.5440  0.0099 -0.0027 -0.0016  0.0025  0.0042  0.8693  0.5464  0.1468  0.0408  0.1701
   5  0.4967  0.0113 -0.0014 -0.0018  0.0002  0.0052  0.8819  0.4959  0.1593  0.0417  0.1744
   6  0.4502  0.0148 -0.0003 -0.0066 -0.0010  0.0037  0.8939  0.4550  0.1674  0.0488  0.1762
   7  0.4116  0.0179 -0.0021 -0.0026 -0.0013  0.0058  0.9043  0.4148  0.1741  0.0538  0.1727
   8  0.3719  0.0200 -0.0040 -0.0024  0.0002  0.0039  0.9130  0.3749  0.1811  0.0593  0.1686
   9  0.3395  0.0204 -0.0037 -0.0020  0.0015  0.0070  0.9220  0.3441  0.1851  0.0629  0.1611
  10  0.3157  0.0243 -0.0035 -0.0038 -0.0005  0.0090  0.9312  0.3184  0.1962  0.0672  0.1511
  11  0.2927  0.0311 -0.0008 -0.0016  0.0038  0.0071  0.9339  0.2921  0.2057  0.0781  0.1386
  12  0.2708  0.0356 -0.0049 -0.0009  0.0034  0.0060  0.9413  0.2739  0.2158  0.0845  0.1295
  13  0.2521  0.0379 -0.0031  0.0022  0.0022  0.0073  0.9490  0.2528  0.2296  0.0945  0.1177
  14  0.2362  0.0405 -0.0026  0.0034  0.0010  0.0086  0.9547  0.2394  0.2437  0.1072  0.1092
  15  0.2234  0.0443 -0.0039  0.0056  0.0020  0.0098  0.9583  0.2288  0.2601  0.1218  0.0992
  16  0.2127  0.0473 -0.0038  0.0068  0.0020  0.0085  0.9623  0.2219  0.2744  0.1386  0.0929
  17  0.2047  0.0499 -0.0026  0.0067  0.0057  0.0107  0.9698  0.2114  0.2937  0.1583  0.0828
  18  0.1978  0.0517 -0.0033  0.0080  0.0028  0.0132  0.9742  0.2057  0.3168  0.1786  0.0740
  19  0.1868  0.0594 -0.0054  0.0069  0.0041  0.0163  0.9829  0.2020  0.3436  0.2011  0.0645
  20  0.1831  0.0645 -0.0092  0.0061  0.0048  0.0177  0.9855  0.1986  0.3686  0.2213  0.0587
  21  0.1770  0.0707 -0.0080  0.0079  0.0065  0.0212  0.9879  0.1967  0.3865  0.2469  0.0539
  22  0.1693  0.0770 -0.0089  0.0105  0.0038  0.0276  0.9885  0.1916  0.4128  0.2742  0.0429
  23  0.1646  0.0818 -0.0076  0.0122  0.0067  0.0306  0.9909  0.1897  0.4387  0.3045  0.0405
  24  0.1654  0.0858 -0.0078  0.0137  0.0069  0.0383  0.9925  0.1840  0.4608  0.3276  0.0386
  25  0.1629  0.0917 -0.0041  0.0137  0.0059  0.0448  0.9932  0.1801  0.4801  0.3554  0.0369
  26  0.1613  0.0982 -0.0017  0.0184  0.0095  0.0469  0.9971  0.1779  0.4980  0.3820  0.0307
  27  0.1598  0.1014 -0.0001  0.0234  0.0092  0.0524  1.0007  0.1767  0.5127  0.4030  0.0274
  28  0.1588  0.1023  0.0033  0.0253  0.0128  0.0617  1.0001  0.1709  0.5313  0.4282  0.0229
  29  0.1623  0.1061  0.0010  0.0270  0.0107  0.0690  1.0003  0.1667  0.5437  0.4455  0.0197
  30  0.1617  0.1115  0.0017  0.0279  0.0131  0.0742  1.0010  0.1629  0.5597  0.4675  0.0149
  31  0.1599  0.1162  0.0044  0.0294  0.0140  0.0815  1.0009  0.1556  0.5704  0.4850  0.0126
  32  0.1598  0.1257  0.0023  0.0321  0.0166  0.0899  0.9989  0.1496  0.5863  0.5039  0.0108
  33  0.1605  0.1277  0.0051  0.0355  0.0171  0.1021  0.9973  0.1451  0.5942  0.5198  0.0097
  34  0.1617  0.1322  0.0035  0.0388  0.0186  0.1144  0.9964  0.1406  0.5955  0.5337  0.0065
  35  0.1653  0.1372  0.0027  0.0400  0.0233  0.1250  0.9950  0.1402  0.6044  0.5442  0.0062
  36  0.1687  0.1432  0.0038  0.0460  0.0264  0.1354  0.9937  0.1354  0.6070  0.5519  0.0067
  37  0.1702  0.1497  0.0081  0.0453  0.0276  0.1436  0.9949  0.1308  0.6099  0.5583  0.0058
  38  0.1773  0.1585  0.0093  0.0488  0.0323  0.1551  0.9969  0.1283  0.6105  0.5676  0.0024
  39  0.1812  0.1662  0.0093  0.0523  0.0362  0.1681  0.9986  0.1217  0.6106  0.5711  0.0060
  40  0.1854  0.1749  0.0119  0.0520  0.0373  0.1837  0.9998  0.1168  0.6087  0.5704  0.0063
  41  0.1962  0.1837  0.0195  0.0567  0.0465  0.2012  1.0025  0.1120  0.6016  0.5694  0.0076
  42  0.2050  0.1944  0.0221  0.0611  0.0473  0.2189  1.0032  0.1037  0.5965  0.5631  0.0105
  43  0.2176  0.2054  0.0232  0.0677  0.0500  0.2334  0.9975  0.1006  0.5854  0.5531  0.0115
  44  0.2394  0.2212  0.0237  0.0774  0.0556  0.2492  0.9962  0.0924  0.5755  0.5463  0.0131
  45  0.2559  0.2381  0.0266  0.0839  0.0599  0.2693  0.9923  0.0862  0.5638  0.5329  0.0090
  46  0.2749  0.2586  0.0313  0.0914  0.0620  0.2953  0.9886  0.0758  0.5468  0.5163  0.0103
  47  0.3003  0.2814  0.0351  0.0976  0.0650  0.3204  0.9811  0.0689  0.5257  0.4982  0.0078
  48  0.3248  0.3078  0.0416  0.1060  0.0717  0.3479  0.9760  0.0650  0.5069  0.4811  0.0089
  49  0.3500  0.3345  0.0466  0.1107  0.0782  0.3781  0.9665  0.0576  0.4836  0.4571  0.0118
  50  0.3788  0.3665  0.0501  0.1190  0.0827  0.4093  0.9559  0.0486  0.4563  0.4348  0.0107
  51  0.4105  0.4007  0.0588  0.1308  0.0871  0.4417  0.9433  0.0436  0.4301  0.4067  0.0113
  52  0.4407  0.4345  0.0662  0.1399  0.0947  0.4768  0.9247  0.0417  0.4051  0.3803  0.0087
  53  0.4716  0.4666  0.0773  0.1478  0.0956  0.5090  0.9014  0.0396  0.3802  0.3551  0.0117
  54  0.5031  0.4984  0.0885  0.1567  0.0993  0.5384  0.8763  0.0360  0.3573  0.3319  0.0075
  55  0.5235  0.5300  0.1004  0.1643  0.1034  0.5712  0.8445  0.0351  0.3344  0.3097  0.0052
  56  0.5463  0.5585  0.1134  0.1712  0.1054  0.5991  0.8107  0.0316  0.3141  0.2901  0.0037
  57  0.5675  0.5858  0.1291  0.1819  0.1096  0.6259  0.7738  0.0278  0.2932  0.2701  0.0024
  58  0.5832  0.6125  0.1426  0.1915  0.1081  0.6487  0.7343  0.0250  0.2737  0.2516  0.0026
  59  0.5993  0.6388  0.1556  0.1987  0.1113  0.6799  0.6984  0.0259  0.2520  0.2289  0.0054
  60  0.6089  0.6667  0.1741  0.2063  0.1154  0.6995  0.6580  0.0240  0.2325  0.2175  0.0087
  61  0.6186  0.6921  0.1895  0.2115  0.1147  0.7219  0.6228  0.0242  0.2181  0.1990  0.0112
  62  0.6270  0.7108  0.2027  0.2202  0.1125  0.7420  0.5894  0.0259  0.2023  0.1847  0.0103
  63  0.6305  0.7311  0.2166  0.2245  0.1168  0.7652  0.5562  0.0201  0.1872  0.1696  0.0132
  64  0.6301  0.7527  0.2349  0.2343  0.1153  0.7824  0.5216  0.0156  0.1736  0.1609  0.0122
  65  0.6341  0.7738  0.2456  0.2387  0.1153  0.7985  0.4897  0.0148  0.1577  0.1457  0.0154
  66  0.6352  0.7905  0.2633  0.2428  0.1168  0.8144  0.4607  0.0138  0.1452  0.1345  0.0141
  67  0.6360  0.8070  0.2763  0.2520  0.1138  0.8305  0.4335  0.0150  0.1350  0.1254  0.0140
  68  0.6322  0.8231  0.2887  0.2595  0.1102  0.8415  0.4037  0.0115  0.1216  0.1172  0.0174
